source,target,value
Logistics Managers,Technology Design,1.62
Logistics Managers,Equipment Selection,1.25
Logistics Managers,Installation,1
Logistics Managers,Programming,1.75
Logistics Managers,Operation Monitoring,2.75
Logistics Managers,Operation and Control,1.88
Logistics Managers,Equipment Maintenance,1
Logistics Managers,Troubleshooting,1.5
Logistics Managers,Repairing,1
Logistics Managers,Quality Control Analysis,1.88
Logistics Managers,Judgment and Decision Making,3.88
Logistics Managers,Systems Analysis,3.12
Logistics Managers,Systems Evaluation,3.5
Logistics Managers,Time Management,4
Logistics Managers,Management of Financial Resources,3.12
Logistics Managers,Management of Material Resources,3.25
Logistics Managers,Management of Personnel Resources,3.62
Compensation and Benefits Managers,Reading Comprehension,4
Compensation and Benefits Managers,Active Listening,4
Compensation and Benefits Managers,Writing,3.5
Compensation and Benefits Managers,Speaking,4
Compensation and Benefits Managers,Mathematics,3
Compensation and Benefits Managers,Science,1.38
Compensation and Benefits Managers,Critical Thinking,3.88
Compensation and Benefits Managers,Active Learning,3.5
Compensation and Benefits Managers,Learning Strategies,2.88
Compensation and Benefits Managers,Monitoring,3.38
Compensation and Benefits Managers,Social Perceptiveness,3.5
Compensation and Benefits Managers,Coordination,3.12
Compensation and Benefits Managers,Persuasion,3.12
Compensation and Benefits Managers,Negotiation,3.12
Compensation and Benefits Managers,Instructing,3.12
Compensation and Benefits Managers,Service Orientation,3.12
Compensation and Benefits Managers,Complex Problem Solving,3.25
Compensation and Benefits Managers,Operations Analysis,3
Compensation and Benefits Managers,Technology Design,1.5
Compensation and Benefits Managers,Equipment Selection,1
Compensation and Benefits Managers,Installation,1
Compensation and Benefits Managers,Programming,1.38
Compensation and Benefits Managers,Operation Monitoring,1.5
Compensation and Benefits Managers,Operation and Control,1
Compensation and Benefits Managers,Equipment Maintenance,1
Compensation and Benefits Managers,Troubleshooting,1
Compensation and Benefits Managers,Repairing,1
Compensation and Benefits Managers,Quality Control Analysis,1.5
Compensation and Benefits Managers,Judgment and Decision Making,3.75
Compensation and Benefits Managers,Systems Analysis,3.38
Compensation and Benefits Managers,Systems Evaluation,3.25
Compensation and Benefits Managers,Time Management,3.62
Compensation and Benefits Managers,Management of Financial Resources,3.25
Compensation and Benefits Managers,Management of Material Resources,2
Compensation and Benefits Managers,Management of Personnel Resources,3.5
Human Resources Managers,Reading Comprehension,3.88
Human Resources Managers,Active Listening,4
Human Resources Managers,Writing,3.5
Human Resources Managers,Speaking,4
Human Resources Managers,Mathematics,2.88
Human Resources Managers,Science,1.88
Human Resources Managers,Critical Thinking,3.88
Human Resources Managers,Active Learning,3.5
Human Resources Managers,Learning Strategies,3.25
Human Resources Managers,Monitoring,3.62
Human Resources Managers,Social Perceptiveness,4
Human Resources Managers,Coordination,3.88
Human Resources Managers,Persuasion,3.62
Human Resources Managers,Negotiation,3.75
Human Resources Managers,Instructing,3.38
Human Resources Managers,Service Orientation,3.38
Human Resources Managers,Complex Problem Solving,3.62
Human Resources Managers,Operations Analysis,2.62
Human Resources Managers,Technology Design,1.75
Human Resources Managers,Equipment Selection,1
Human Resources Managers,Installation,1
Human Resources Managers,Programming,2
Human Resources Managers,Operation Monitoring,1.75
Human Resources Managers,Operation and Control,1.25
Human Resources Managers,Equipment Maintenance,1
Human Resources Managers,Troubleshooting,1
Human Resources Managers,Repairing,1
Human Resources Managers,Quality Control Analysis,1.75
Human Resources Managers,Judgment and Decision Making,3.75
Human Resources Managers,Systems Analysis,3.62
Human Resources Managers,Systems Evaluation,3.62
Human Resources Managers,Time Management,3.62
Human Resources Managers,Management of Financial Resources,2.88
Human Resources Managers,Management of Material Resources,2.62
Human Resources Managers,Management of Personnel Resources,4
Training and Development Managers,Reading Comprehension,3.75
Training and Development Managers,Active Listening,4
Training and Development Managers,Writing,3.5
Training and Development Managers,Speaking,4.38
Training and Development Managers,Mathematics,2.62
Training and Development Managers,Science,1.62
Training and Development Managers,Critical Thinking,3.88
Training and Development Managers,Active Learning,3.75
Training and Development Managers,Learning Strategies,4.38
Training and Development Managers,Monitoring,3.75
Training and Development Managers,Social Perceptiveness,3.75
Training and Development Managers,Coordination,4
Training and Development Managers,Persuasion,3.5
Training and Development Managers,Negotiation,3
Training and Development Managers,Instructing,4.12
Training and Development Managers,Service Orientation,3.5
Training and Development Managers,Complex Problem Solving,3.62
Training and Development Managers,Operations Analysis,2.62
Training and Development Managers,Technology Design,1.62
Training and Development Managers,Equipment Selection,1
Training and Development Managers,Installation,1
Training and Development Managers,Programming,1.62
Training and Development Managers,Operation Monitoring,2
Training and Development Managers,Operation and Control,1.12
Training and Development Managers,Equipment Maintenance,1
Training and Development Managers,Troubleshooting,1.75
Training and Development Managers,Repairing,1
Training and Development Managers,Quality Control Analysis,2.62
Training and Development Managers,Judgment and Decision Making,3.62
Training and Development Managers,Systems Analysis,3.38
Training and Development Managers,Systems Evaluation,3.25
Training and Development Managers,Time Management,3.62
Training and Development Managers,Management of Financial Resources,3.62
Training and Development Managers,Management of Material Resources,2.75
Training and Development Managers,Management of Personnel Resources,3.75
Nursery and Greenhouse Managers,Reading Comprehension,3.38
Nursery and Greenhouse Managers,Active Listening,3.75
Nursery and Greenhouse Managers,Writing,3.12
Nursery and Greenhouse Managers,Speaking,4
Nursery and Greenhouse Managers,Mathematics,2.38
Nursery and Greenhouse Managers,Science,2.88
Nursery and Greenhouse Managers,Critical Thinking,3.75
Nursery and Greenhouse Managers,Active Learning,3.38
Nursery and Greenhouse Managers,Learning Strategies,3
Nursery and Greenhouse Managers,Monitoring,3.88
Nursery and Greenhouse Managers,Social Perceptiveness,3.5
Nursery and Greenhouse Managers,Coordination,3.88
Nursery and Greenhouse Managers,Persuasion,3.38
Nursery and Greenhouse Managers,Negotiation,3.5
Nursery and Greenhouse Managers,Instructing,3.75
Nursery and Greenhouse Managers,Service Orientation,3.12
Nursery and Greenhouse Managers,Complex Problem Solving,3.5
Nursery and Greenhouse Managers,Operations Analysis,2.25
Nursery and Greenhouse Managers,Technology Design,1.62
Nursery and Greenhouse Managers,Equipment Selection,2
Nursery and Greenhouse Managers,Installation,1.12
Nursery and Greenhouse Managers,Programming,1.5
Nursery and Greenhouse Managers,Operation Monitoring,2.88
Nursery and Greenhouse Managers,Operation and Control,2.38
Nursery and Greenhouse Managers,Equipment Maintenance,1.88
Nursery and Greenhouse Managers,Troubleshooting,2.25
Nursery and Greenhouse Managers,Repairing,1.88
Nursery and Greenhouse Managers,Quality Control Analysis,2.75
Nursery and Greenhouse Managers,Judgment and Decision Making,3.75
Nursery and Greenhouse Managers,Systems Analysis,2.75
Nursery and Greenhouse Managers,Systems Evaluation,3.12
Nursery and Greenhouse Managers,Time Management,3.62
Nursery and Greenhouse Managers,Management of Financial Resources,3
Nursery and Greenhouse Managers,Management of Material Resources,3.12
Nursery and Greenhouse Managers,Management of Personnel Resources,4
Farm and Ranch Managers,Reading Comprehension,3.25
Farm and Ranch Managers,Active Listening,3.38
Farm and Ranch Managers,Writing,2.88
Farm and Ranch Managers,Speaking,3.62
Farm and Ranch Managers,Mathematics,3.12
Farm and Ranch Managers,Science,2.5
Farm and Ranch Managers,Critical Thinking,4
Farm and Ranch Managers,Active Learning,3.12
Farm and Ranch Managers,Learning Strategies,3
Farm and Ranch Managers,Monitoring,3.5
Farm and Ranch Managers,Social Perceptiveness,3
Farm and Ranch Managers,Coordination,3.5
Farm and Ranch Managers,Persuasion,3.25
Farm and Ranch Managers,Negotiation,3.12
Farm and Ranch Managers,Instructing,2.88
Farm and Ranch Managers,Service Orientation,2.5
Farm and Ranch Managers,Complex Problem Solving,3.25
Farm and Ranch Managers,Operations Analysis,2.12
Farm and Ranch Managers,Technology Design,1.75
Farm and Ranch Managers,Equipment Selection,2.5
Farm and Ranch Managers,Installation,1.12
Farm and Ranch Managers,Programming,1.5
Farm and Ranch Managers,Operation Monitoring,3.25
Farm and Ranch Managers,Operation and Control,3.12
Farm and Ranch Managers,Equipment Maintenance,2.25
Farm and Ranch Managers,Troubleshooting,2.5
Farm and Ranch Managers,Repairing,2.25
Farm and Ranch Managers,Quality Control Analysis,3.12
Farm and Ranch Managers,Judgment and Decision Making,3.75
Farm and Ranch Managers,Systems Analysis,3.25
Farm and Ranch Managers,Systems Evaluation,3.12
Farm and Ranch Managers,Time Management,3.38
Farm and Ranch Managers,Management of Financial Resources,2.75
Farm and Ranch Managers,Management of Material Resources,2.88
Farm and Ranch Managers,Management of Personnel Resources,3
Aquacultural Managers,Reading Comprehension,3.75
Aquacultural Managers,Active Listening,3.75
Aquacultural Managers,Writing,3.5
Aquacultural Managers,Speaking,3.88
Aquacultural Managers,Mathematics,2.5
Aquacultural Managers,Science,3.25
Aquacultural Managers,Critical Thinking,3.88
Aquacultural Managers,Active Learning,3.25
Aquacultural Managers,Learning Strategies,2.88
Aquacultural Managers,Monitoring,3.62
Aquacultural Managers,Social Perceptiveness,3.5
Aquacultural Managers,Coordination,3.38
Aquacultural Managers,Persuasion,3
Aquacultural Managers,Negotiation,3.12
Aquacultural Managers,Instructing,3
Aquacultural Managers,Service Orientation,2.88
Aquacultural Managers,Complex Problem Solving,3.5
Aquacultural Managers,Operations Analysis,2.88
Aquacultural Managers,Technology Design,1.62
Aquacultural Managers,Equipment Selection,2.12
Aquacultural Managers,Installation,1.12
Aquacultural Managers,Programming,1.5
Aquacultural Managers,Operation Monitoring,3.12
Aquacultural Managers,Operation and Control,2.75
Aquacultural Managers,Equipment Maintenance,2.25
Aquacultural Managers,Troubleshooting,2.38
Aquacultural Managers,Repairing,2.12
Aquacultural Managers,Quality Control Analysis,2.88
Aquacultural Managers,Judgment and Decision Making,3.75
Aquacultural Managers,Systems Analysis,3.38
Aquacultural Managers,Systems Evaluation,3.25
Aquacultural Managers,Time Management,3.75
